iter	Passed	Remaining
0	400	319984
1	662	264465
2	922	245057
3	1133	225620
4	1310	208306
5	1569	207732
6	1789	202673
7	2037	201699
8	2312	203277
9	2505	197902
10	2647	189863
11	2973	195228
12	3294	199471
13	3432	192738
14	3811	199488
15	4040	197976
16	4208	193829
17	4431	192531
18	4556	187309
19	4782	186503
20	4995	185313
21	5247	185588
22	5424	183242
23	5648	182623
24	5821	180475
25	6194	184391
26	6534	187088
27	6866	189305
28	7133	189654
29	7436	190878
30	7674	190379
31	8042	193021
32	8184	190218
33	8368	188537
34	8520	186244
35	8675	184107
36	8924	184035
37	9107	182634
38	9365	182738
39	9694	184191
40	9925	183746
41	10115	182568
42	10368	182535
43	10689	183668
44	10983	184277
45	11239	184233
46	11387	182446
47	11656	182614
48	11949	183146
49	12192	182882
50	12403	182168
51	12529	180235
52	12828	180805
53	13081	180715
54	13276	179842
55	13467	178927
56	13612	177436
57	13866	177391
58	14115	177282
59	14487	178675
60	14729	178438
61	14961	178089
62	15159	177342
63	15439	177549
64	15658	177060
65	15864	176429
66	16076	175886
67	16314	175622
68	16518	174996
69	16684	174000
70	16921	173744
71	17221	174133
72	17485	174136
73	17707	173722
74	18020	174201
75	18289	174233
76	18453	173266
77	18578	171974
78	18755	171176
79	18901	170114
80	19055	169149
81	19201	168130
82	19301	166738
83	19405	165405
84	19509	164106
85	19660	163225
86	19764	161974
87	19865	160726
88	19969	159533
89	20098	158551
90	20231	157630
91	20349	156604
92	20477	155674
93	20708	155533
94	20840	154656
95	20983	153875
96	21120	153072
97	21242	152168
98	21367	151300
99	21462	150236
100	21587	149402
101	21707	148550
102	21946	148509
103	22086	147809
104	22196	146921
105	22311	146073
106	22409	145136
107	22520	144296
108	22620	143403
109	22728	142568
110	22826	141691
111	22932	140868
112	23036	140053
113	23143	139266
114	23264	138576
115	23384	137886
116	23507	137225
117	23626	136555
118	23741	135866
119	23854	135173
120	24039	134898
121	24185	134410
122	24306	133782
123	24525	133706
124	24625	132980
125	24715	132207
126	24807	131458
127	25010	131304
128	25209	131130
129	25325	130521
130	25428	129857
131	25581	129458
132	25779	129287
133	25884	128651
134	26007	128111
135	26107	127466
136	26229	126935
137	26331	126314
138	26554	126275
139	26729	126012
140	26857	125527
141	26966	124956
142	27088	124455
143	27217	123990
144	27354	123568
145	27501	123193
146	27674	122935
147	27783	122397
148	27904	121918
149	28008	121371
150	28222	121299
151	28404	121091
152	28506	120548
153	28621	120059
154	28834	119989
155	28952	119522
156	29050	118979
157	29138	118397
158	29339	118279
159	29501	118007
160	29610	117522
161	29835	117498
162	29965	117102
163	30062	116584
164	30254	116433
165	30426	116205
166	30562	115843
167	30779	115788
168	30885	115318
169	31004	114899
170	31116	114458
171	31221	113996
172	31330	113551
173	31419	113037
174	31540	112646
175	31776	112662
176	31879	112208
177	31978	111745
178	32068	111253
179	32190	110876
180	32306	110483
181	32404	110032
182	32528	109673
183	32641	109277
184	32844	109187
185	32987	108894
186	33113	108549
187	33399	108725
188	33567	108515
189	33795	108502
190	33949	108246
191	34199	108298
192	34379	108124
193	34495	107753
194	34613	107389
195	34720	106994
196	34819	106578
197	34926	106190
198	35160	106188
199	35314	105942
200	35425	105572
201	35613	105429
202	35809	105310
203	35948	105024
204	36081	104724
205	36284	104627
206	36440	104391
207	36555	104043
208	36696	103768
209	36805	103407
210	36902	103012
211	37026	102696
212	37130	102326
213	37253	102010
214	37372	101686
215	37612	101694
216	37786	101519
217	37915	101223
218	38035	100908
219	38261	100871
220	38415	100643
221	38535	100330
222	38646	99995
223	38755	99657
224	38876	99350
225	38978	98997
226	39088	98667
227	39200	98344
228	39305	98005
229	39557	98032
230	39670	97716
231	39773	97376
232	39895	97084
233	40101	96997
234	40254	96782
235	40364	96463
236	40524	96265
237	40701	96110
238	40800	95769
239	41026	95728
240	41169	95492
241	41270	95161
242	41378	94848
243	41518	94607
244	41684	94428
245	41790	94113
246	41916	93844
247	42031	93554
248	42249	93491
249	42382	93241
250	42590	93156
251	42767	93001
252	42881	92711
253	43090	92626
254	43252	92441
255	43379	92180
256	43586	92091
257	43781	91975
258	43919	91739
259	44143	91682
260	44303	91493
261	44423	91221
262	44766	91404
263	44945	91253
264	45093	91038
265	45318	90976
266	45471	90773
267	45606	90531
268	45719	90249
269	45926	90151
270	46063	89916
271	46280	89839
272	46474	89714
273	46605	89468
274	46711	89176
275	46892	89028
276	47028	88794
277	47153	88539
278	47243	88222
279	47330	87899
280	47439	87620
281	47561	87364
282	47706	87152
283	47932	87089
284	48052	86831
285	48149	86533
286	48257	86258
287	48468	86166
288	48599	85931
289	48777	85781
290	48904	85540
291	49088	85400
292	49236	85196
293	49338	84916
294	49450	84652
295	49676	84583
296	49778	84304
297	49965	84169
298	50101	83950
299	50201	83668
300	50306	83399
301	50416	83136
302	50652	83083
303	50766	82829
304	50876	82569
305	50980	82302
306	51161	82158
307	51316	81972
308	51506	81843
309	51632	81612
310	51741	81355
311	51956	81264
312	52137	81121
313	52217	80821
314	52439	80739
315	52562	80507
316	52672	80254
317	52871	80138
318	53018	79943
319	53124	79686
320	53314	79557
321	53436	79325
322	53557	79092
323	53649	78817
324	53759	78571
325	53866	78321
326	54071	78213
327	54168	77949
328	54291	77724
329	54401	77480
330	54608	77375
331	54702	77110
332	54793	76842
333	54903	76601
334	55146	76546
335	55289	76352
336	55456	76191
337	55629	76037
338	55716	75768
339	55895	75622
340	56030	75419
341	56154	75200
342	56254	74950
343	56435	74809
344	56581	74621
345	56689	74384
346	56782	74128
347	56905	73911
348	57112	73804
349	57212	73558
350	57392	73416
351	57525	73213
352	57612	72954
353	57730	72734
354	57919	72602
355	58050	72400
356	58147	72154
357	58364	72058
358	58489	71849
359	58718	71766
360	58847	71563
361	58982	71365
362	59075	71118
363	59163	70866
364	59264	70630
365	59358	70386
366	59581	70296
367	59686	70066
368	59790	69836
369	59905	69620
370	60012	69394
371	60122	69173
372	60235	68955
373	60328	68716
374	60427	68484
375	60548	68277
376	60664	68066
377	60786	67862
378	60883	67630
379	61010	67432
380	61197	67301
381	61308	67086
382	61448	66902
383	61642	66779
384	61752	66564
385	61846	66332
386	61939	66100
387	62040	65877
388	62249	65769
389	62377	65576
390	62572	65452
391	62719	65279
392	62832	65071
393	62954	64871
394	63177	64776
395	63303	64582
396	63409	64368
397	63546	64185
398	63755	64075
399	63901	63901
400	64018	63698
401	64133	63495
402	64362	63404
403	64468	63191
404	64683	63086
405	64800	62885
406	64988	62752
407	65166	62610
408	65313	62439
409	65414	62223
410	65620	62108
411	65743	61913
412	65887	61739
413	66061	61593
414	66230	61443
415	66430	61320
416	66559	61132
417	66788	61036
418	66953	60881
419	67081	60693
420	67215	60510
421	67420	60390
422	67568	60220
423	67683	60021
424	67762	59790
425	67878	59592
426	67978	59381
427	68160	59241
428	68334	59096
429	68440	58890
430	68580	58715
431	68680	58505
432	68788	58303
433	68895	58101
434	69007	57902
435	69202	57774
436	69339	57597
437	69441	57392
438	69551	57194
439	69657	56992
440	69772	56798
441	69880	56600
442	69983	56397
443	70096	56203
444	70169	55977
445	70383	55864
446	70499	55673
447	70634	55498
448	70810	55355
449	70945	55179
450	71079	55004
451	71333	54920
452	71447	54729
453	71612	54576
454	71860	54487
455	71990	54308
456	72113	54124
457	72336	54015
458	72519	53876
459	72618	53674
460	72713	53470
461	72815	53271
462	72920	53075
463	73034	52886
464	73158	52705
465	73285	52526
466	73398	52337
467	73671	52262
468	73788	52077
469	73929	51907
470	74050	51725
471	74308	51638
472	74459	51476
473	74561	51280
474	74797	51177
475	74955	51020
476	75077	50838
477	75241	50685
478	75657	50701
479	75868	50578
480	75990	50397
481	76255	50309
482	76585	50264
483	76804	50145
484	76990	50004
485	77114	49822
486	77331	49701
487	77612	49620
488	77788	49472
489	78015	49356
490	78215	49223
491	78384	49070
492	78531	48902
493	78759	48786
494	78904	48618
495	79141	48506
496	79373	48390
497	79509	48216
498	79730	48093
499	79872	47923
500	80011	47751
501	80120	47561
502	80344	47440
503	80524	47292
504	80628	47099
505	80769	46929
506	81021	46823
507	81201	46674
508	81453	46567
509	81661	46434
510	81785	46254
511	82009	46130
512	82196	45985
513	82363	45828
514	82626	45725
515	82814	45580
516	82899	45378
517	83019	45196
518	83248	45072
519	83386	44900
520	83541	44736
521	83655	44552
522	83943	44459
523	84077	44285
524	84184	44096
525	84440	43986
526	84544	43796
527	84683	43624
528	84816	434553529	85111	433553530	85277	432053531	85489	430653532	85747	429553533	85881	427753534	86048	426253535	86320	4251537	86567	42157
538	86837	42049
539	87033	41905
540	87181	41737
541	87302	41557
542	87661	41489
543	87827	41330
544	87987	41168
545	88143	41004
546	88368	40872
547	88628	40756
548	88834	40614
549	89127	40512
550	89381	40392
551	89580	40246
552	89716	40072
