iter	MultiClass
0	1.065034055
1	1.035084596
2	1.011056199
3	0.9916416622
4	0.9750417413
5	0.9606516461
6	0.9489218693
7	0.937300609
8	0.9268504816
9	0.9165862072
10	0.9071981399
11	0.8996603185
12	0.8926080272
13	0.8866326097
14	0.8831997245
15	0.8774621718
16	0.8727890618
17	0.8681093331
18	0.8638632816
19	0.8594276457
20	0.8554835827
21	0.8517947291
22	0.8484320631
23	0.8449375319
24	0.8411417905
25	0.8378105925
26	0.8350977045
27	0.8324607457
28	0.8298928635
29	0.8274601584
30	0.824748828
31	0.8222641058
32	0.8193116598
33	0.8167061292
34	0.8141945049
35	0.8111930765
36	0.8094576709
37	0.8080744524
38	0.8060588767
39	0.804403883
40	0.802569922
41	0.8005162413
42	0.798422554
43	0.7958978681
44	0.7938285717
45	0.7917390033
46	0.7891184429
47	0.7869098644
48	0.7846048708
49	0.7826405286
50	0.780965017
51	0.7794521838
52	0.7778748928
53	0.7755962866
54	0.7736895309
55	0.7726738748
56	0.7706210471
57	0.7690420405
58	0.7676906184
59	0.7665642456
60	0.7652037344
61	0.763300008
62	0.7620480584
63	0.7604193862
64	0.7592081724
65	0.7570255561
66	0.7552574845
67	0.7537416157
68	0.752110411
69	0.7501037449
70	0.7487652935
71	0.7470573097
72	0.7447134487
73	0.7421054134
74	0.7409721807
75	0.7395986429
76	0.7379781732
77	0.7354625644
78	0.73395558
79	0.7325577281
80	0.7312810171
81	0.7299296303
82	0.7275704233
83	0.7263827927
84	0.7242954142
85	0.7230323378
86	0.7211614499
87	0.7197387913
88	0.7185098636
89	0.7168256173
90	0.7152284569
91	0.7128717361
92	0.7117860871
93	0.7102828025
94	0.7088341376
95	0.7079363114
96	0.7063086735
97	0.7047636535
98	0.702387966
99	0.7008706905
100	0.6994539951
101	0.6978144484
102	0.6970108284
103	0.6957842103
104	0.6943592708
105	0.6926628085
106	0.6913066079
107	0.689626779
108	0.6876477981
109	0.6867665344
110	0.6853005483
111	0.6833407989
112	0.6815828893
113	0.6802869851
114	0.6784075336
115	0.6775150195
116	0.6765769001
117	0.6752608515
118	0.6738622997
119	0.6725297526
120	0.6707317822
121	0.6691803473
122	0.6670278621
123	0.6653752318
124	0.663191146
125	0.6619591375
126	0.6605974639
127	0.6588723523
128	0.6577764237
129	0.6566857793
130	0.6544322017
131	0.6531330479
132	0.6520468996
133	0.6504994
134	0.6489947209
135	0.6472925071
136	0.6461272599
137	0.6450732241
138	0.6439810514
139	0.6427127019
140	0.6409249401
141	0.6397880421
142	0.6386280645
143	0.6375073391
144	0.6366416205
145	0.6354560736
146	0.6337293279
147	0.6326509218
148	0.6309944979
149	0.6301841024
150	0.628804222
151	0.6273082294
152	0.6263888215
153	0.6249130239
154	0.6225276273
155	0.6215757211
156	0.6205832763
157	0.6196787546
158	0.6184121464
159	0.6173841347
160	0.6163082254
161	0.6148872811
162	0.6141996516
163	0.6132846953
164	0.6118662346
165	0.6098536072
166	0.6088068606
167	0.6069221087
