iter	Passed	Remaining
0	37	29773
1	67	26819
2	95	25315
3	125	24970
4	154	24527
5	185	24499
6	214	24302
7	244	24235
8	276	24284
9	310	24512
10	340	24431
11	371	24404
12	403	24401
13	433	24310
14	462	24229
15	492	24134
16	522	24085
17	552	24001
18	581	23912
19	611	23843
20	644	23906
21	677	23944
22	708	23944
23	740	23958
24	768	23838
25	798	23766
26	827	23693
27	856	23605
28	883	23502
29	913	23435
30	942	23369
31	971	23325
32	1003	23328
33	1036	23351
34	1068	23357
35	1098	23321
36	1131	23325
37	1162	23310
38	1192	23267
39	1225	23277
40	1259	23322
41	1293	23343
42	1325	23328
43	1356	23307
44	1387	23286
45	1420	23289
46	1453	23281
47	1484	23259
48	1515	23221
49	1545	23186
50	1577	23173
51	1608	23135
52	1639	23109
53	1671	23087
54	1701	23052
55	1736	23065
56	1766	23032
57	1797	22997
58	1828	22958
59	1860	22941
60	1891	22919
61	1922	22884
62	1953	22856
63	1984	22821
64	2015	22788
65	2046	22758
66	2077	22725
67	2107	22687
68	2137	22646
69	2171	22649
70	2205	22646
71	2237	22625
72	2269	22603
73	2299	22564
74	2331	22534
75	2362	22510
76	2393	22474
77	2423	22435
78	2453	22392
79	2484	22356
80	2515	22331
81	2546	22298
82	2578	22272
83	2608	22233
84	2639	22200
85	2671	22182
86	2702	22151
87	2733	22118
88	2763	22077
89	2793	22034
90	2824	22007
91	2855	21971
92	2885	21935
93	2914	21891
94	2944	21852
95	2975	21823
96	3006	21790
97	3038	21762
98	3069	21732
99	3100	21702
100	3131	21675
101	3162	21642
102	3193	21612
103	3226	21589
104	3257	21562
105	3290	21540
106	3321	21509
107	3352	21480
108	3383	21450
109	3413	21410
110	3443	21373
111	3473	21339
112	3507	21324
113	3540	21305
114	3573	21285
115	3607	21270
116	3639	21246
117	3673	21229
118	3706	21208
119	3738	21184
120	3773	21174
121	3805	21149
122	3836	21117
123	3868	21090
124	3900	21063
125	3930	21024
126	3960	20989
127	3991	20956
128	4025	20939
129	4059	20920
130	4091	20893
131	4124	20871
132	4156	20846
133	4190	20828
134	4225	20812
135	4257	20784
136	4290	20764
137	4320	20727
138	4354	20708
139	4388	20688
140	4421	20663
141	4455	20644
142	4489	20627
143	4521	20600
144	4554	20574
145	4587	20548
146	4619	20522
147	4653	20498
148	4691	20498
149	4726	20479
150	4757	20449
151	4790	20420
152	4823	20396
153	4860	20389
154	4894	20366
155	4928	20347
156	4963	20329
157	4999	20315
158	5036	20303
159	5078	20313
160	5114	20300
161	5151	20288
162	5189	20281
163	5244	20339
164	5309	20432
165	5349	20430
166	5381	20399
167	5411	20356
168	5440	20313
169	5469	20271
170	5499	20228
171	5530	20193
172	5561	20156
173	5591	20117
174	5622	20080
175	5654	20046
176	5685	20011
177	5716	19974
178	5748	19942
179	5779	19906
180	5810	19872
181	5842	19837
182	5872	19801
183	5904	19767
184	5935	19731
185	5967	19700
186	6001	19673
187	6037	19654
188	6071	19627
189	6104	19598
190	6137	19568
191	6169	19537
192	6202	19508
193	6237	19484
194	6274	19465
195	6307	19437
196	6341	19410
197	6372	19374
198	6404	19342
199	6437	19312
200	6469	19278
201	6500	19242
202	6531	19209
203	6563	19176
204	6597	19147
205	6631	19122
206	6664	19093
207	6694	19054
208	6727	19024
209	6758	18989
210	6787	18947
211	6818	18911
212	6851	18880
213	6882	18846
214	6916	18818
215	6946	18780
216	6975	18740
217	7006	18705
218	7037	18671
219	7071	18642
220	7101	18604
221	7132	18569
222	7160	18527
223	7189	18487
224	7220	18451
225	7250	18414
226	7279	18374
227	7311	18342
228	7343	18309
229	7374	18274
230	7404	18239
231	7435	18204
232	7466	18168
233	7498	18137
234	7535	18117
235	7570	18091
236	7603	18062
237	7635	18029
238	7671	18006
239	7707	17983
240	7740	17955
241	7772	17921
242	7805	17892
243	7838	17861
244	7869	17826
245	7901	17794
246	7932	17760
247	7963	17724
248	7993	17688
249	8024	17653
250	8057	17622
251	8085	17583
252	8116	17549
253	8148	17516
254	8181	17486
255	8213	17452
256	8244	17419
257	8277	17389
258	8316	17371
259	8350	17343
260	8384	17314
261	8415	17280
262	8445	17244
263	8475	17207
264	8505	17171
265	8534	17134
266	8565	17099
267	8597	17067
268	8628	17032
269	8659	16998
270	8692	16967
271	8724	16936
272	8756	16903
273	8792	16879
274	8830	16857
275	8863	16828
276	8894	16794
277	8926	16761
278	8956	16725
279	8988	16693
280	9017	16655
281	9048	16620
282	9077	16582
283	9107	16547
284	9139	16514
285	9168	16477
286	9198	16441
287	9227	16404
288	9256	16367
289	9287	16333
290	9318	16298
291	9347	16262
292	9377	16226
293	9406	16190
294	9436	16154
295	9465	16117
296	9496	16082
297	9525	16045
298	9554	16009
299	9588	15981
300	9622	15952
301	9653	15918
302	9685	15887
303	9715	15851
304	9747	15820
305	9778	15785
306	9807	15749
307	9837	15714
308	9869	15683
309	9901	15650
310	9932	15616
311	9962	15582
312	9991	15546
313	10021	15511
314	10051	15476
315	10079	15438
316	10110	15405
317	10139	15368
318	10168	15332
319	10198	15297
320	10225	15258
321	10253	15221
322	10281	15183
323	10310	15147
324	10340	15113
325	10370	15078
326	10400	15044
327	10431	15011
328	10459	14974
329	10489	14939
330	10519	14905
331	10547	14868
332	10576	14832
333	10605	14796
334	10637	14764
335	10664	14727
336	10693	14691
337	10722	14655
338	10750	14620
339	10781	14587
340	10812	14554
341	10842	14520
342	10870	14483
343	10899	14448
344	10928	14412
345	10959	14380
346	10986	14342
347	11014	14306
348	11042	14269
349	11071	14234
350	11100	14200
351	11129	14164
352	11158	14130
353	11186	14094
354	11214	14057
355	11243	14022
356	11271	13986
357	11299	13950
